"attendance_log","intensity_log","product_log","converged","replicate","attendance_ratio","intensity_ratio","product_ratio"
0.403990775738323,0.211974901582654,0.615965677320977,1,558,1.49779013088631,1.23611686011232,1.85144363369841
0.234985266686039,-0.0216380094890688,0.213347257196971,1,559,1.26489013257216,0.97859441283434,1.2378144165844
0.430539405120509,-0.0208152102533985,0.409724194867111,1,560,1.53808695180684,0.979399930913637,1.50640225433879
0.137484615428184,0.176713827685721,0.314198443113905,1,561,1.14738405382391,1.19328955782613,1.36916141024428
-0.0459208689945473,0.16281910171916,0.116898232724613,1,562,0.955117538611612,1.17682378503244,1.12400503693979
0.152906319209672,0.247991842148174,0.400898161357846,1,563,1.16521581549106,1.28144947827641,1.49316519884045
0.488108262647737,0.0785452492879909,0.566653511935728,1,564,1.6292312253112,1.08171230076631,1.7623594572117
0.175923204444566,-0.0331894090796803,0.142733795364886,1,565,1.19234648822378,0.967355316355419,1.15342271432099
0.678957516193337,-0.00275461565580092,0.676202900537537,1,566,1.97182106886365,0.997249174816674,1.96639693381041
0.319106581430693,0.0216661238864074,0.3407727053171,1,567,1.3758979622648,1.02190253865862,1.40603362057361
-0.00353867576216194,-0.249573746692558,-0.25311242245472,1,568,0.996467577972092,0.779132820241971,0.776380594305083
0.0915063216774616,-0.0836513582165068,0.00785496346095477,1,569,1.09582370411466,0.919751864133481,1.00788589462111
0.496693081344556,0.0427153944770173,0.539408475821573,1,570,1.64327808861304,1.04364082663572,1.71499210279248
0.0442479548843011,0.175205175169033,0.219453130053334,1,571,1.04524149549361,1.19149065583178,1.24539547496827
-0.0563499258098747,0.017018660465595,-0.0393312653442797,1,572,0.945208325225472,1.01716430290763,0.961432167230452
0.706230056274247,-0.0782323710918108,0.627997685182436,1,573,2.02633766194213,0.924749516520263,1.87385477318778
0.759194202766619,0.0597984134981071,0.818992616264727,1,574,2.13655389744891,1.0616225162039,2.26821372461495
0.301382610982372,-0.0675696282970177,0.233812982685354,1,575,1.35172642798674,0.93466263938244,1.26340819090508
0.316841162744164,-0.0400525157240113,0.276788647020153,1,576,1.37278450528369,0.960738983924162,1.31888759075309
0.721686284432988,0.0739243348066881,0.795610619239676,1,577,2.05790049197526,1.07672533178352,2.21579358999954
0.338016618157197,0.0522734311246186,0.390290049281815,1,578,1.40216380459023,1.05366380760847,1.47740925323532
0.467308744352975,0.0273747326135895,0.494683476966564,1,579,1.59569398887974,1.02775286312817,1.63997906574756
0.816671684050036,0.060584312691092,0.877255996741128,1,580,2.26295545871146,1.0624571724175,2.40429325796932
0.0709484041756972,-0.0118119440873925,0.0591364600883047,1,581,1.07352583498903,0.988257543062301,1.06092000410017
0.145135010579245,-0.278011541944411,-0.132876531365166,1,582,1.15619565837657,0.757288080886961,0.875573191261829
-0.368656314295016,0.00673819559368965,-0.361918118701326,1,583,0.69166308432016,1.00676094830899,0.696339382680486
0.543002677389827,0.142899903959007,0.685902581348835,1,584,1.72116722075956,1.15361432366003,1.98556315928235
0.193904687971906,0.0857618334322684,0.279666521404174,1,585,1.21398057049169,1.08954680377868,1.32268865042864
-0.0786524853116338,0.125770466393854,0.0471179810822197,1,586,0.924361097694447,1.13402184228448,1.04824567494356
0.624687749515601,0.059404438825864,0.684092188341465,1,587,1.86766268779489,1.06120434620063,1.9819717615247
0.537973655611694,0.100340853921516,0.63831450953321,1,588,1.71253316195447,1.10554768412446,1.8932870711851
0.22714017038528,-0.0789737784818961,0.148166391903384,1,589,1.25500577025419,0.924064154492367,1.15970584597298
-0.0279108854289068,0.289166406065198,0.261255520636291,1,590,0.972475024634671,1.33531391437575,1.29855943177758
0.219062368659192,0.0642997557146922,0.283362124373884,1,591,1.24490891756633,1.06641201395127,1.32758582596781
0.0141432637192747,-0.119016848390243,-0.104873584670968,1,592,1.01424375286286,0.887792842755672,0.900438344601296
0.428965122827321,-0.0502003539037277,0.378764768923593,1,593,1.53566747372367,0.951038861062876,1.46047944518147
0.338936540286824,0.0981509151945308,0.437087455481354,1,594,1.40345427958068,1.10312925151262,1.54819146896602
0.621533381492964,-0.113946753039861,0.507586628453102,1,595,1.86178067423037,0.892305467171123,1.6612770742893
0.707621184465333,0.122432140568479,0.830053325033811,1,596,2.0291585190203,1.13024241986353,2.2934410348242
0.377045687924016,-0.229585990486366,0.14745969743765,1,597,1.45797091951416,0.794862615076141,1.15888657778999
-0.22494479501964,0.0138110427010335,-0.211133752318606,1,598,0.798560302048348,1.01390685573579,0.809665764965261
0.482642935885024,0.110169455970124,0.592812391855148,1,599,1.62035123242786,1.11646724647028,1.80906907878345
-0.145030098755227,-0.0190890557331219,-0.164119154488349,1,600,0.864996257408298,0.981091986486091,0.848640896483742
0.354434715084676,-0.097739870152232,0.256694844932444,1,601,1.42537468369406,0.906884780873243,1.29265060768415
0.12660612581644,0.0216547894849063,0.148260915301346,1,602,1.13496989439157,1.02189095607059,1.15981547049114
0.110358597668855,-0.00825469403536046,0.102103903633494,1,603,1.11667843695369,0.991779282398818,1.10749853887216
0.577746969668909,0.152940933389704,0.730687903058613,1,604,1.78201896168624,1.16525614917913,2.0765085530587
0.779270155831525,-0.0518520780916266,0.727418077739899,1,605,2.17988071155037,0.94946930376714,2.06972982149115
0.237803072019423,0.330913715667012,0.568716787686436,1,606,1.26845937308468,1.39223965865514,1.76599944460133
0.264179397127584,-0.162581707151802,0.101597689975782,1,607,1.30236181531372,0.849946640668981,1.10693804986145
0.0493982187802306,0.118513257075267,0.167911475855498,1,608,1.05063865148915,1.12582179910738,1.18283189683127
