observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_fraction,raw_at_site_seconds,foraging_within_raw_at_site_seconds,focal_visible_union_seconds,all_foraging_seconds
7,Observation 7,N5,2017-12-03,Observer 2,0,10,14.25,1800.0,0.0,502.998999999998,244.15400000000045,502.998999999998,244.15400000000045
7,Observation 7,N5,2017-12-03,Observer 2,0,11,14.75,1800.0,0.0,868.094000000001,309.3070000000007,868.094000000001,309.3070000000007
7,Observation 7,N5,2017-12-03,Observer 2,0,12,15.25,1800.0,0.0,333.78800000000047,0,333.78800000000047,0.0
7,Observation 7,N5,2017-12-03,Observer 2,0,13,15.75,1800.0,0.0,1222.2410000000018,793.096000000005,1222.2410000000018,793.096000000005
7,Observation 7,N5,2017-12-03,Observer 2,0,14,16.25,1800.0,0.0,791.3219999999965,98.20200000000114,791.3219999999965,98.20200000000114
7,Observation 7,N5,2017-12-03,Observer 2,0,15,16.75,1800.0,0.0,604.4449999999997,426.52700000000186,604.4449999999997,426.52700000000186
7,Observation 7,N5,2017-12-03,Observer 2,0,16,17.25,1800.0,0.0,296.65699999999924,92.38899999999921,296.65699999999924,92.38899999999921
7,Observation 7,N5,2017-12-03,Observer 2,0,17,17.75,1800.0,0.0,281.762999999999,214.5550000000003,281.762999999999,214.5550000000003
7,Observation 7,N5,2017-12-03,Observer 2,0,18,18.25,1800.0,0.0,655.6839999999975,193.03899999999703,655.6839999999975,193.03899999999703
7,Observation 7,N5,2017-12-03,Observer 2,0,19,18.75,1800.0,0.0,0.0,0.0,0.0,0.0
7,Observation 7,N5,2017-12-03,Observer 2,0,20,19.25,1800.0,0.0,0.0,0.0,0.0,0.0
7,Observation 7,N5,2017-12-03,Observer 2,0,21,19.75,1800.0,0.0,0.0,0.0,0.0,0.0
7,Observation 7,N5,2017-12-03,Observer 2,0,22,20.160277777777775,1154.8399999999965,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,1,8.308333333333334,1380.0,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,2,8.75,1800.0,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,3,9.25,1800.0,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,4,9.75,1800.0,0.0,32.034999999999854,21.787000000000262,32.034999999999854,21.787000000000262
8,Observation 8,N6,2017-12-05,Observer 2,0,5,10.25,1800.0,0.0,161.98899999999958,142.40399999999954,161.98899999999958,142.40399999999954
8,Observation 8,N6,2017-12-05,Observer 2,0,6,10.75,1800.0,0.0,1090.8550000000032,362.10999999999876,1090.8550000000032,362.10999999999876
8,Observation 8,N6,2017-12-05,Observer 2,0,7,11.25,1800.0,0.0,296.97000000000116,216.30799999999908,296.97000000000116,216.30799999999908
8,Observation 8,N6,2017-12-05,Observer 2,0,8,11.75,1800.0,0.0,175.48199999999997,125.16099999999824,175.48199999999997,125.16099999999824
8,Observation 8,N6,2017-12-05,Observer 2,0,9,12.25,1800.0,0.0,737.1949999999997,294.1919999999973,737.1949999999997,294.1919999999973
8,Observation 8,N6,2017-12-05,Observer 2,0,10,12.75,1800.0,0.0,241.36000000000058,202.875,241.36000000000058,202.875
8,Observation 8,N6,2017-12-05,Observer 2,0,11,13.25,1800.0,0.0,286.78800000000774,109.43599999999788,286.78800000000774,109.43599999999788
8,Observation 8,N6,2017-12-05,Observer 2,0,12,13.75,1800.0,0.0,27.552999999999884,23.942000000002736,27.552999999999884,23.942000000002736
8,Observation 8,N6,2017-12-05,Observer 2,0,13,14.25,1800.0,0.0,526.7750000000015,54.36700000000201,526.7750000000015,54.36700000000201
