observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,bin_start_local,bin_stop_local,clock_hour,camera_seconds,post_collection_fraction,hours_from_collection_midpoint,collection_phase,focal_visible_seconds,group_size_known_seconds,group_size_person_seconds,time_weighted_mean_group_size,multiple_grackle_seconds,multiple_grackle_fraction,focal_competitor_seconds_lower_bound,group_size_9plus_seconds,displacement_events_all,displacement_events_with_known_group,displacement_events_with_recorded_competitor,maximum_group_size_lower_bound
3,Observation 3,V2,2017-11-29,Observer 3,1,16,2017-11-29T16:00:00.000,2017-11-29T16:30:00.000,16.228888888888886,1649.8400000000001,1.0,4.291248055555554,Post-collection,141.25,141.25,362.0520000000033,2.5632000000000237,139.56900000000314,0.9880991150442701,220.80200000000332,0.0,0,0,0,3
4,Observation 4,V3,2017-11-30,Observer 3,0,1,2017-11-30T15:30:00.000,2017-11-30T16:00:00.000,15.791666666666666,1500.0,0.0,,No collection,415.82300000000396,415.05599999999686,526.1399999999921,1.267636174395735,111.08399999999529,0.26763617439573484,111.08399999999529,0.0,0,0,0,2
4,Observation 4,V3,2017-11-30,Observer 3,0,2,2017-11-30T16:00:00.000,2017-11-30T16:30:00.000,16.25,1800.0,0.0,,No collection,845.3480000000054,845.3480000000054,1530.8160000000062,1.8108707893080676,530.773000000001,0.6278751472766217,685.4680000000008,0.0,0,0,0,5
4,Observation 4,V3,2017-11-30,Observer 3,0,3,2017-11-30T16:30:00.000,2017-11-30T17:00:00.000,16.75,1800.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
4,Observation 4,V3,2017-11-30,Observer 3,0,4,2017-11-30T17:00:00.000,2017-11-30T17:30:00.000,17.25,1800.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
4,Observation 4,V3,2017-11-30,Observer 3,0,5,2017-11-30T17:30:00.000,2017-11-30T18:00:00.000,17.75,1800.0,0.0,,No collection,210.9649999999965,210.9649999999965,234.00999999999476,1.1092361292157402,23.044999999998254,0.10923612921574022,23.044999999998254,0.0,0,0,0,2
4,Observation 4,V3,2017-11-30,Observer 3,0,6,2017-11-30T18:00:00.000,2017-11-30T18:30:00.000,18.003888888888888,28.23999999999978,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,1,2017-12-01T08:00:00.000,2017-12-01T08:30:00.000,8.275,1620.0,0.0,-3.8140727777777776,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,2,2017-12-01T08:30:00.000,2017-12-01T09:00:00.000,8.75,1800.0,0.0,-3.339072777777778,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,3,2017-12-01T09:00:00.000,2017-12-01T09:30:00.000,9.25,1800.0,0.0,-2.839072777777778,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,4,2017-12-01T09:30:00.000,2017-12-01T10:00:00.000,9.75,1800.0,0.0,-2.339072777777778,Pre-collection,100.16600000000017,99.4340000000002,99.4340000000002,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,5,2017-12-01T10:00:00.000,2017-12-01T10:30:00.000,10.25,1800.0,0.0,-1.8390727777777778,Pre-collection,295.8919999999998,295.52399999999943,1101.2779999999948,3.7265264411688963,232.79099999999926,0.7877228245421681,805.7539999999954,0.0,0,0,0,7
5,Observation 5,N4,2017-12-01,Observer 2,1,6,2017-12-01T10:30:00.000,2017-12-01T11:00:00.000,10.75,1800.0,0.0,-1.3390727777777778,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,7,2017-12-01T11:00:00.000,2017-12-01T11:30:00.000,11.25,1800.0,0.0,-0.8390727777777779,Pre-collection,121.7489999999998,120.71600000000035,197.91200000000208,1.639484409688869,53.65600000000086,0.4444812618045719,77.19600000000173,0.0,0,0,0,3
5,Observation 5,N4,2017-12-01,Observer 2,1,8,2017-12-01T11:30:00.000,2017-12-01T12:00:00.000,11.75,1800.0,0.0,-0.33907277777777783,Pre-collection,510.8219999999983,508.8889999999974,508.8889999999974,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,9,2017-12-01T12:00:00.000,2017-12-01T12:30:00.000,12.25,1800.0,0.8218544444444443,0.16092722222222214,Straddles collection end,351.2450000000008,350.21899999999914,616.9319999999989,1.7615606234955854,172.22299999999996,0.49175801427107146,266.71299999999974,0.0,1,1,1,3
5,Observation 5,N4,2017-12-01,Observer 2,1,10,2017-12-01T12:30:00.000,2017-12-01T13:00:00.000,12.75,1800.0,1.0,0.6609272222222221,Post-collection,344.48099999999977,342.95600000000195,342.95600000000195,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,11,2017-12-01T13:00:00.000,2017-12-01T13:30:00.000,13.25,1800.0,1.0,1.1609272222222222,Post-collection,920.0930000000008,917.4239999999991,1306.1549999999988,1.423720111965678,388.73099999999977,0.423720111965678,388.73099999999977,0.0,0,0,0,2
5,Observation 5,N4,2017-12-01,Observer 2,1,12,2017-12-01T13:30:00.000,2017-12-01T14:00:00.000,13.75,1800.0,1.0,1.6609272222222222,Post-collection,100.3070000000007,99.77499999999782,127.27599999999802,1.2756301678777329,27.501000000000204,0.275630167877733,27.501000000000204,0.0,1,1,1,2
5,Observation 5,N4,2017-12-01,Observer 2,1,13,2017-12-01T14:00:00.000,2017-12-01T14:30:00.000,14.25,1800.0,1.0,2.160927222222222,Post-collection,845.3589999999967,842.171999999995,1563.224999999995,1.8561825850301412,428.46399999999994,0.5087606807160562,721.0529999999999,0.0,0,0,0,4
